CdId,Real CAS,Name,vapor_pressure,maximalProjectionArea,minimalProjectionArea,maximalProjectionRadius,minimalProjectionRadius,acceptorSiteCount,donorSiteCount
44,,"5-Methyl-3-heptanone, (5R)-5-methylheptan-3-one",2.44,45.852,31.4075,4.7928,3.56868,2,0
45,"98-86-2","Acetophenone",0.299,45.957,22.642,4.82303,3.3343,2,0
46,"7493-74-5","allyl phenoxy acetate",0.00454,64.5447,29.8622,6.47392,3.89368,3,0
47,"7493-71-2","Allyl tiglate",1.27,49.9662,30.8755,5.18788,3.83404,2,0
48,"628-63-7","Amyl acetate",3.93,49.7531,23.5266,6.19671,2.98074,2,0
49,"100-66-3","Anisole",4.24,42.3165,22.3684,4.73051,3.40445,1,0
50,"104-21-2","Anisyl acetate",0.0205,62.4647,29.3833,6.54583,3.49553,3,0
51,"100-52-7","Benzaldehyde",0.974,41.2531,20.2349,4.36723,3.37479,2,0
52,"140-11-4","benzyl acetate",0.164,53.6016,27.1688,5.64775,3.4225,2,0
53,"2550-26-7","Benzylacetone",0.0557,54.7621,26.8508,5.72438,3.66627,2,0
54,"18127-01-0","bourgeonal",0.00934,65.8024,32.6312,6.70264,3.44549,2,0
55,"123-72-8","butanal",96.0,29.7521,18.3234,3.99617,2.63152,2,0
56,"71-36-3","butanol",8.522,32.5826,19.7346,4.28481,2.67584,1,1
57,"123-86-4","Butyl acetate",11.5,44.6936,21.001,5.46274,2.94218,2,0
58,"107-92-6","Butyric acid",1.351,31.8286,19.853,4.00314,2.81863,3,1
59,"495-40-9","butyrophenone",0.0732,54.8876,28.278,5.51269,3.80304,2,0
60,"142-62-1","Caproic acid",0.158,43.2484,20.4973,5.28266,2.79092,3,1
61,"66-25-1","Capronaldehyde",10.9,41.639,21.106,5.27758,3.10476,2,0
62,"124-07-2","Caprylic acid",0.022,54.9,25.9124,6.54441,3.18662,3,1
63,"928-96-1","cis-3-Hexen-1-ol",1.039,39.6879,25.4392,4.54505,3.35472,1,1
64,"16491-36-4","cis-3-Hexenyl butyrate",0.135,60.5499,33.5452,6.64794,3.80291,2,0
65,,"Citronellyl tiglate, [(3S)-3,7-dimethyloct-6-enyl] (E)-2-methylbut-2-enoate",4.95E-4,84.9517,44.4515,7.29564,4.85531,2,0
66,,"Citronellyl tiglate, [(3R)-3,7-dimethyloct-6-enyl] (E)-2-methylbut-2-enoate",4.95E-4,83.4193,42.6059,8.25177,3.97557,2,0
67,,"Citronellyl valerate, [(3R)-3,7-dimethyloct-6-enyl] pentanoate",5.54E-4,86.015,37.3519,9.0355,3.69541,2,0
68,,"(+)-Dihydrocarvone",0.107,52.3402,30.0892,5.34908,3.52532,2,0
69,"112-31-2","Decanal",0.207,64.6608,22.4677,7.84102,2.91885,2,0
70,"334-48-5","decanoic acid",0.00355,65.8018,29.0424,7.82946,3.48886,3,1
71,"112-30-1","1-Decanol",0.0148,67.4672,24.6846,8.32351,3.16925,1,1
72,"140-67-0","Estragole",0.21,55.2627,24.9823,6.24408,3.63665,1,0
73,"141-78-6","ethyl acetate",112.0,32.875,21.3081,4.20848,2.99182,2,0
74,"93-89-0","ethyl benzoate",0.18,54.2888,25.7894,5.42143,3.55769,2,0
75,"105-54-4","Ethyl butyrate",13.941,43.1599,25.9764,5.04234,3.63788,2,0
76,"539-88-8","Ethyl levulinate",0.249,49.5197,29.9684,5.34256,3.85791,4,0
77,"124-06-1","Ethyl tetradecanoate",0.00157,100.226,33.5744,11.2043,3.90212,2,0
78,"105-37-3","ethyl propanoate",44.5,38.5434,24.2698,4.78724,3.08158,2,0
79,"5837-78-5","Ethyl tiglate",4.269,47.713,28.354,4.92672,3.59052,2,0
80,"539-82-2","Ethyl valerate",4.75,48.7127,28.9475,5.65038,3.89363,2,0
81,"121-32-4","Ethyl vanillin",8.84E-4,57.1938,25.0011,5.36547,4.1217,4,1
82,,"Eucalyptol",1.649,45.4149,39.1034,4.42966,3.83389,1,0
83,"97-53-0","eugenol",0.0104,57.8899,27.7908,5.97699,3.98075,2,1
84,"106-24-1","geraniol",0.0133,58.6552,31.6144,5.89582,3.77724,1,1
85,,"Hedione, methyl 2-[(1S,2R)-3-oxo-2-pentylcyclopentyl]acetate",7.1E-4,74.9419,45.844,6.67014,4.99888,4,0
86,,"Hedione, methyl 2-[(1S,2S)-3-oxo-2-pentylcyclopentyl]acetate",7.1E-4,69.4569,48.214,6.49116,4.79791,4,0
87,,"Hedione, methyl 2-[(1R,2R)-3-oxo-2-pentylcyclopentyl]acetate",7.1E-4,76.0265,46.9871,6.47043,5.37467,4,0
88,,"Hedione, methyl 2-[(1R,2S)-3-oxo-2-pentylcyclopentyl]acetate",7.1E-4,76.6441,45.6768,6.87149,4.87686,4,0
89,"111-71-7","Heptanal",3.85,47.3348,21.5113,5.92413,3.10574,2,0
90,"5870-93-9","heptyl butyrate",0.09,72.5409,32.9774,8.22383,4.1238,2,0
91,"111-27-3","hexanol",0.947,44.4111,20.6211,5.79671,2.79788,1,1
92,"67883-79-8","cis-3-Hexenyl tiglate",0.0306,68.5815,32.0015,7.08663,3.89521,2,0
93,"142-92-7","Hexyl acetate",1.39,56.136,25.3901,6.83773,3.34739,2,0
94,"16930-96-4","hexyl tiglate",0.0519,69.8123,29.8876,7.28649,3.99021,2,0
95,"123-92-2","Isoamyl acetate",5.68,47.2064,25.2893,5.57237,3.29087,2,0
96,"105-68-0","Isoamyl propionate",2.36,51.2749,28.5446,6.04215,3.28234,2,0
97,"41519-18-0","Isoamyl tiglate",0.206,60.491,32.0349,6.19549,4.00483,2,0
98,"61692-84-0","Isobutyl tiglate",0.617,53.8897,33.3053,5.52394,3.78896,2,0
99,"79-31-2","Isobutyric acid",1.63,29.433,24.3984,3.49268,3.27054,3,1
100,,"Isoeugenol, 2-methoxy-4-[(E)-prop-1-enyl]phenol",0.00519,60.9229,30.4224,5.62918,4.30788,2,1
101,,"Isoeugenol, 2-methoxy-4-[(Z)-prop-1-enyl]phenol",0.00519,59.7619,29.9706,5.41907,4.3075,2,1
102,"1733-25-1","Isopropyl tiglate",1.88,48.3787,33.0678,4.82831,3.66916,2,0
103,,"Lilial, (2S)-3-(4-tert-butylphenyl)-2-methylpropanal",0.00444,68.5268,34.7648,6.64827,3.65698,2,0
104,,"Lilial, (2R)-3-(4-tert-butylphenyl)-2-methylpropanal",0.00444,67.9781,36.825,6.50501,3.84378,2,0
105,,"Lyral, (1S)-4-(4-hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde",2.9E-5,66.6894,38.2324,6.4579,3.87757,3,1
106,,"Lyral, (1R)-4-(4-hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde",2.9E-5,68.4771,37.1121,7.04717,3.78024,3,1
107,"93-58-3","Methyl benzoate",0.34,49.159,24.0679,4.91097,3.56501,2,0
108,"6622-76-0","Methyl tiglate",13.4,42.2175,23.8028,4.8912,3.24225,2,0
109,"124-19-6","Nonanal",0.532,58.8101,23.5151,7.20459,3.26801,2,0
110,"124-13-0","Octanal",2.07,53.0921,23.7814,6.55345,3.23796,2,0
111,"112-14-1","Octyl acetate",0.194,67.7282,27.8243,8.12078,3.62004,2,0
112,"112-05-0","Pelargonic acid",0.00867,60.5378,23.793,7.1974,3.01292,3,1
113,"55719-85-2","Phenylethyl tiglate",7.76E-4,72.9373,31.1089,6.94045,3.92972,2,0
114,"79-09-4","propionic acid",4.227,27.0148,19.8326,3.42281,2.8861,3,1
115,"93-55-0","Propiophenone",0.129,49.7736,24.2283,4.9739,3.51674,2,0
116,"109-60-4","Propyl acetate",35.2,38.8852,22.2887,4.91382,2.96182,2,0
117,"105-66-8","Propyl butyrate",5.45,49.7187,25.5305,5.90775,3.33356,2,0
118,"7778-87-2","Propyl heptanoate",0.233,64.6235,34.4246,7.27297,4.23247,2,0
119,"106-36-5","Propyl propionate",14.3,44.9887,25.2147,5.3718,3.32324,2,0
120,"91-22-5","Quinoline",0.0822,48.7113,21.0263,4.73622,3.56612,1,0
121,"79-77-6","beta-ionone",0.0169,63.5031,39.8427,5.56293,4.41219,2,0
122,"14371-10-9","trans-cinnamaldehyde",0.0265,51.7685,20.2774,5.57673,3.47374,2,0
123,"110-62-3","Valeraldehyde",31.792,35.4814,19.0404,4.65779,2.73705,2,0
124,"109-52-4","Valeric acid",0.452,37.6198,21.0914,4.65788,3.06077,3,1
125,"1009-14-9","Valerophenone",0.0242,59.2581,33.3419,6.00326,3.89608,2,0
126,"101-85-9","alpha-Amylcinnamyl alcohol",6.3E-5,75.4085,42.2335,6.51296,5.14248,1,1
127,"142-60-9","Octyl propionate",0.074,72.3915,31.2711,8.54848,4.16854,2,0
128,"103-52-6","Phenethyl butyrate",0.00703,69.3856,31.819,7.41869,3.7507,2,0
129,"42436-07-7","cis-3-Hexenyl phenylacetate",6.34E-4,72.6889,35.1722,7.49868,3.94195,2,0
130,"18829-56-6","trans-2-Nonenal",0.256,55.8691,25.47,6.90914,3.24075,2,0
131,"5157-89-1
","D-Menthyl acetate",0.0707,61.8525,44.4379,5.42333,4.57625,2,0
132,"2623-23-6","L-Menthyl acetate",0.0707,66.9834,42.7593,5.3628,5.05118,2,0
133,"105-90-8","Geranyl propionate",0.00336,71.6751,37.394,7.1242,4.15406,2,0
134,"87-25-2","Ethyl anthranilate",0.00954,56.6146,29.0126,5.42379,4.04289,3,2
135,"692-86-4","Ethyl 10-undecenoate",0.00882,80.0275,38.5066,8.89275,4.00133,2,0
136,"1334-82-3","amyl furoate",0.0219,65.6629,29.7692,7.30009,4.00346,2,0
137,"103-60-6","2-Phenoxyethyl isobutyrate",0.00562,68.4545,37.1209,6.64844,3.93606,3,0
138,"65405-77-8","cis-3-Hexenyl salicylate",2.46E-4,73.4668,38.38,6.49965,4.46839,3,1
139,"3915-83-1","Neryl isovalerate",5.4E-4,81.1369,47.4103,7.66007,4.92442,2,0
140,"5454-19-3","Decyl propionate",0.011,84.3334,31.5762,9.779,3.63344,2,0
141,"7699-00-5 ","Ethyl lactate",1.16,40.5541,25.9429,4.68341,3.36707,3,1
142,"7493-72-3","Allyl nonanoate",0.0183,74.897,31.6414,8.61401,3.86286,2,0
143,"102-20-5","Phenethyl phenylacetate",2.3E-5,75.5933,45.0001,6.64172,4.90781,2,0
144,"498-02-2","Acetovanillone",7.59E-4,57.0498,28.9621,5.20903,4.11063,4,1
145,"24915-95-5","Ethyl (R)-3-hydroxybutyrate",0.362,45.6441,28.0829,5.06394,3.65433,3,1
146,"56816-01-4","Ethyl (S)-3-hydroxybutyrate",0.362,44.4603,25.9519,5.0362,3.48459,3,1
147,,"Diethyl malate, diethyl (2S)-2-hydroxybutanedioate",4.17E-4,57.4092,35.6162,6.13473,3.86871,5,1
148,,"Diethyl malate, diethyl (2R)-2-hydroxybutanedioate",4.17E-4,59.7261,31.2988,6.44948,3.92424,5,1
149,"3249-68-1","Ethyl 3-oxohexanoate",0.243,54.7673,30.1455,6.0646,3.6817,4,0
150,"659-70-1","Isoamyl isovalerate",0.452,61.1929,32.4909,6.15788,3.82991,2,0
151,"140-26-1","Phenethyl isovalerate",0.00347,70.5504,34.0056,6.76035,3.86618,2,0
152,"25152-85-6","cis-3-Hexenyl benzoate",0.00203,70.8285,38.4012,6.33472,4.46966,2,0
153,"70419-06-6","(S)-(+)-2-Nonanol",0.108,60.655,27.1739,7.2164,3.27131,1,1
154,"70419-07-7","(R)-(-)-2-Nonanol",0.108,61.4951,23.2262,7.22571,2.99522,1,1
155,"99-87-6","p-Cymene",1.65,50.497,28.4746,5.31812,3.38675,0,0
156,,"(S)-(+)-alpha-Phellandrene",1.86,55.4025,26.7655,5.36512,3.60197,0,0
157,"4221-98-1","(R)-(-)-alpha-Phellandrene",1.86,48.5075,31.7152,5.03255,3.55567,0,0
158,,"(3R)-hexan-3-ol",3.39,43.0495,25.8847,5.01729,3.43776,1,1
159,,"(3S)-hexan-3-ol",3.393,42.7997,24.6388,4.83642,3.22866,1,1
160,"79-20-9","Methyl acetate",368.0,27.7256,17.7189,3.6532,2.92405,2,0
161,"6290-37-5","Phenethyl hexanoate",8.69E-4,80.0942,36.6327,8.47173,4.3077,2,0
162,"554-12-1","Methyl propionate",143.0,32.4629,22.4896,4.02154,3.3819,2,0
163,"881-68-5","Vanillin acetate",0.00233,64.2642,30.3631,5.95791,4.46866,5,0
164,"629-19-6","Propyl disulfide",0.735,52.373,30.3947,5.58777,3.69591,0,0
165,"90-05-1","Guaiacol",0.179,45.0676,22.7069,4.71908,3.80132,2,1
166,"98-02-2","Furfuryl mercaptan",3.98,36.7758,22.5915,4.24158,3.03935,0,1
167,"623-42-7","Methyl butyrate",31.1,37.6066,23.3579,4.56827,3.24331,2,0
168,"928-80-3","3-Decanone",0.207,62.7698,30.4639,7.35864,3.50517,2,0
169,"600-14-6","2,3-Pentanedione",26.4,36.1238,22.551,4.35657,3.0881,4,0
170,,"ethyl (2L)-2-hydroxyhexanoate",0.112,57.0126,26.3273,6.6309,3.46715,3,1
171,,"ethyl (2R)-2-hydroxyhexanoate",0.112,57.325,29.8915,6.57484,3.42329,3,1
172,"925-78-0","3-Nonanone",0.551,57.1946,26.9,6.71513,3.2715,2,0
173,"6728-26-3","trans-2-Hexenal",4.62,40.4851,20.5924,5.24585,2.73739,2,0
174,"503-74-2","Isovaleric acid",0.554,36.4284,23.825,4.06841,3.22811,3,1
175,"109-79-5","1-Butanethiol",46.34,35.9843,17.6218,4.62858,2.70763,0,1
176,"2216-51-5","L(-)-Menthol",0.0323,51.8706,36.039,4.93111,3.75366,1,1
177,"108-98-5","Thiophenol",2.07,39.5995,21.582,4.29185,3.40214,0,1
178,"120-72-9","Indole",0.0298,44.6434,22.4089,4.47499,3.64167,0,1
179,"590-86-3","3-Methylbutyraldehyde",49.317,34.8088,22.8942,3.94095,3.14877,2,0
180,,"(3S)-7-hydroxy-3,7-dimethyloctanal",0.00318,61.8363,31.9044,6.08353,3.7081,3,1
181,,"(3R)-7-hydroxy-3,7-dimethyloctanal",0.00318,61.961,32.2514,6.16004,3.84125,3,1
182,"4437-51-8","3,4-Hexanedione",9.91,40.144,24.1079,4.63191,3.17324,4,0
183,"2438-10-0","(+)-Terpinen-4-ol",0.0478,55.1859,30.1549,5.33742,3.62318,1,1
184,"20126-76-5","(-)-Terpinen-4-ol",0.0478,49.9687,36.9985,4.84316,3.68091,1,1
185,"6033-23-4","(S)-(+)-2-Heptanol",0.886,49.8293,23.5694,5.95684,3.2229,1,1
186,"6033-24-5","(R)-(-)-2-Heptanol",0.886,49.7095,24.5799,5.877,3.19555,1,1
187,"123-11-5","p-Anisaldehyde",0.0249,49.2008,20.8945,5.43911,3.45791,3,0
188,"112-37-8","Undecanoic acid",0.00151,72.2911,29.4551,8.49092,3.65895,3,1
189,"25152-84-5","trans,trans-2,4-Decadienal",0.03,59.3244,26.7499,7.26611,3.59572,2,0
190,"123-32-0","2,5-Dimethylpyrazine",3.98,41.1809,21.0724,4.5872,3.46164,2,0
191,"7540-51-4","(-)-Citronellol",0.0183,59.4892,35.8517,6.08283,4.11543,1,1
192,"1117-61-9","(+)-citronellol",0.0183,59.7866,34.539,6.18467,3.94984,1,1
193,"107-87-9","2-Pentanone",38.6,34.2975,22.3806,4.11539,2.94062,2,0
194,,"gamma-Undecanolactone, (5R)-5-heptyloxolan-2-one",0.00271,67.9111,32.2726,7.61483,3.60028,2,0
195,,"gamma-Undecanolactone, (5S)-5-heptyloxolan-2-one",0.00271,69.2312,31.7291,7.71206,4.00488,2,0
196,"106-35-4","3-Heptanone",4.215,44.9595,24.1848,5.43996,3.11458,2,0
197,"122-48-5","4-(4-Hydroxy-3-methoxyphenyl)-2-butanone",1.43E-4,67.2049,33.5362,6.27417,4.2019,4,1
198,"106-44-5","p-Kresol",0.211,42.6291,21.7167,4.52173,3.53461,1,1
199,"1122-62-9","2-Acetylpyridine",0.481,44.8255,18.6329,4.7241,3.42647,3,0
200,"123-66-0","Ethyl hexanoate",1.66,54.1053,29.9859,6.15166,3.57613,2,0
201,"123-75-1","Pyrrolidine",58.582,27.5142,22.0553,3.23444,3.04952,1,1
202,"123-51-3","3-Methylbutanol",4.164,38.2546,22.1336,4.5274,3.15662,1,1
203,"1128-08-1","Dihydrojasmone",0.0202,60.368,34.581,6.17312,4.06695,2,0
204,"119-36-8","Methyl salicylate",0.07,51.8453,25.272,4.88268,4.35513,3,1
205,"110-93-0","6-Methyl-5-hepten-2-one",1.28,48.1197,26.9568,5.09604,3.36441,2,0
206,"589-38-8","3-Hexanone",12.124,39.6423,23.9261,4.83238,3.10603,2,0
207,"556-82-1","3-Methyl-2-buten-1-ol",2.38,35.3312,22.5064,4.17198,3.16692,1,1
208,"137-00-8","4-Methyl-5-thiazoleethanol",0.00297,45.6691,28.5652,4.91432,3.68341,2,1
209,"140-39-6","p-Tolyl acetate",0.176,53.9283,23.3909,5.70117,3.36784,2,0
210,"2385-77-5 ","(+)-Citronellal",0.215,55.8712,32.9969,5.77246,3.69067,2,0
211,"5949-05-3","(-)-Citronellal",0.215,58.2114,33.1019,5.90119,3.67923,2,0
212,"123-68-2","Allyl hexanoate",0.678,57.8128,28.8165,6.78742,3.73009,2,0
213,"15707-24-1","2,3-Diethylpyrazine",1.03,48.4119,33.5936,4.66029,4.45896,2,0
214,"10031-92-2","Ethyl 2-nonynoate",0.0107,69.8134,24.1251,8.40726,3.39726,2,0
215,"5978-70-1","(2R)-octan-2-ol",0.306,55.5509,23.8292,6.58675,3.34207,1,1
216,"6169-06-8","(2S)-octan-2-ol",0.306,55.4727,21.2833,6.5996,3.08344,1,1
217,,"3-Octanol, (3R)-octan-3-ol",0.512,55.0177,26.6204,6.2165,3.47672,1,1
218,,"3-Octanol, (3S)-octan-3-ol",0.512,54.7127,28.2291,6.13151,3.41175,1,1
219,"629-41-4","1,8-Octanediol",5.07E-4,59.1632,23.8099,7.39037,3.17667,2,2
220,,"1,2-Octanediol, (2S)-octane-1,2-diol",0.00559,57.4646,26.6479,6.75681,3.5559,2,2
221,"87720-90-9","1,2-Octanediol, (2R)-octane-1,2-diol",0.00559,58.1779,21.1888,6.90074,2.9744,2,2
222,,"(4S)-octan-4-ol",0.284,54.7511,30.0616,6.06629,3.81253,1,1
223,,"(4R)-octan-4-ol",0.284,54.8808,28.3765,6.11652,3.55456,1,1
224,"111-88-6","1-Octanethiol",0.494,58.7881,26.6094,7.15743,3.39688,0,1
225,"1797-74-6","Allyl phenylacetate",0.0171,59.8819,26.8027,6.81659,3.47386,2,0
226,"300-57-2","Allylbenzene",3.587,48.1834,23.4125,5.23823,3.47703,0,0
227,"103-82-2","Phenylacetic acid",0.00456,46.0045,25.1819,5.06033,3.42796,3,1
228,"2705-87-5","Allyl cyclohexanepropionate",0.00925,67.098,34.0901,7.231,3.81068,2,0
229,"108-94-1","Cyclohexanone",2.99,36.8594,27.087,3.81282,3.67788,2,0
230,"553-86-6","2-Coumaranone",0.0235,44.7631,20.9976,4.70455,3.56891,2,0
231,"5878-19-3","Methoxyacetone",16.314,33.1283,20.7428,4.15318,2.92439,3,0
232,,"(2Z)-3,7-dimethylocta-2,6-dienenitrile",0.025,57.8219,32.2499,5.54804,4.02423,1,0
233,,"(2E)-3,7-dimethylocta-2,6-dienenitrile",0.025,57.0817,28.5425,6.34053,3.33389,1,0
234,"121-44-8","Triethylamine",56.1,42.8334,28.4405,4.57503,3.76812,1,0
235,"122-70-3","2-Phenylethyl propionate",0.0199,63.766,30.818,6.82608,3.74042,2,0
236,"53448-07-0","trans-2-Undecenal",0.0297,68.8714,26.949,8.40963,3.49015,2,0
237,"5989-27-5","Dipentene, (+)-Carvene",1.54,49.7672,30.5156,5.25655,3.40313,0,0
238,"5989-54-8","Dipentene, (-)-Carvene",1.54,49.8056,29.6285,5.19622,3.45194,0,0
239,"105-87-3","Geranyl acetate",0.0256,70.0608,34.978,7.04922,3.69845,2,0
240,"623-19-8","Furfuryl propionate",0.418,49.6688,28.5496,5.52513,3.46047,2,0
241,"2396-83-0","Ethyl 3-hexenoate",1.55,51.9976,31.329,5.44492,3.77119,2,0
242,"10094-34-5","alpha,alpha-Dimethylphenethyl butyrate",0.00168,72.4597,32.7499,7.59347,3.60614,2,0
243,"19089-92-0","Hexyl trans-2-butenoate",0.146,66.8003,29.4745,7.27287,4.02603,2,0
244,"35154-45-1","cis-3-Hexenyl 3-methylbutanoate",0.0613,65.2282,38.7304,5.81877,4.32191,2,0
245,"89-82-7","(R)-(+)-Pulegone",0.0934,55.1289,32.7173,5.2893,3.69658,2,0
246,"20487-40-5","tert-Butyl propionate",14.5,44.3562,30.3682,4.91879,3.53187,2,0
247,,"Butyl butyryllactate, [(2R)-1-butoxy-1-oxopropan-2-yl] butanoate",0.0062,71.0045,39.3204,7.21054,4.28929,4,0
248,,"Butyl butyryllactate, [(2S)-1-butoxy-1-oxopropan-2-yl] butanoate",0.0062,68.9846,43.6302,7.25649,4.36704,4,0
249,"540-07-8","Amyl hexanoate",0.09,70.9576,36.5507,7.71055,4.52474,2,0
250,"5454-28-4","Butyl heptanoate",0.09,71.1935,36.8752,7.76372,4.30949,2,0
251,"2349-13-5","Heptyl isobutyrate",0.158,68.7816,31.223,7.6046,3.64368,2,0
252,"3848-24-6","2,3-Hexanedione",12.44,41.7706,24.4035,4.91542,3.17293,4,0
253,"15707-23-0","2-Ethyl-3-methylpyrazine",1.69,45.0221,27.4574,4.72267,4.04678,2,0
254,"75-07-0","Acetaldehyde",965.0,18.921,13.9203,2.86265,2.34353,2,0
255,,"Acetaldehyde phenethyl propyl acetal",0.0199,72.6517,42.2645,6.69697,4.64344,2,0
256,"100-06-1","4-Acetylanisole",0.0155,53.9773,23.4172,5.89967,3.32799,3,0
257,,"Acetoin",1.92,31.3631,21.51,3.9601,3.01355,3,1
258,"2051-78-7","Allyl butyrate",4.44,46.4965,29.8619,5.2627,3.96525,2,0
259,,"Allyl cinnamate",0.00213,66.8186,30.3445,6.58382,4.17944,2,0
260,,"Allyl disulfide",0.976,45.9253,26.7808,5.29448,3.57364,0,0
261,,"Allyl-2-ethylbutyrate",0.641,52.2699,36.2138,5.16617,4.25796,2,0
262,,"Allyl 2-furoate",0.225,49.8318,26.0298,5.70147,3.62561,2,0
263,,"Allyl heptanoate",0.16,63.9505,35.6132,6.79928,4.40226,2,0
264,,"Allyl-a-ionone",,71.9913,44.6443,6.9489,4.55095,2,0
265,,"Allyl mercaptan",152.0,26.8218,19.2675,3.84116,2.67702,0,1
266,,"Allyl octanoate",0.0539,70.174,36.8172,7.29562,4.48027,2,0
267,"2408-20-0","Allyl propionate",13.939,41.1009,25.1641,4.73341,3.35352,2,0
268,,"Allyl sulfide",7.3,39.8683,25.658,5.00222,3.27406,0,0
269,,"Allyl isovalerate",1.949,47.5425,32.5779,5.2684,3.74265,2,0
270,,"Isoamyl benzoate",0.0125,69.5114,28.995,6.9629,3.72271,2,0
271,"540-18-1","Amyl butyrate",0.608,62.4368,31.9241,6.53859,3.77819,2,0
272,"106-27-4","Isoamyl butyrate",1.09,58.5853,33.4317,6.48836,4.11986,2,0
273,,"a-Amylcinnamaldehyde",0.00233,72.9623,41.9319,6.36434,5.00833,2,0
